,age,highest_JPN,highest_CHE
0,df_Age00,0.6301810923616951,0.5744484413423269
1,df_Age01_04,0.3723665047455701,0.4270760044761517
2,df_Age05_09,0.4276709998585888,0.46476339482620094
3,df_Age10_14,0.5333262714939624,0.47394694223984024
4,df_Age15_19,0.6054701561075192,0.680262810363206
5,df_Age20_24,0.6215569124766703,0.7173032527653262
6,df_Age25_29,0.513614923651551,0.594133834895151
7,df_Age30_34,0.47996141414292826,0.4679230280209965
8,df_Age35_39,0.5838425866485966,0.5267419005396679
9,df_Age40_44,0.6771344873370337,0.6454072958442353
10,df_Age45_49,0.7453403685420428,0.740409358754299
11,df_Age50_54,0.794773218343655,0.8043849262174901
12,df_Age55_59,0.8312091829066885,0.8500602701501342
13,df_Age60_64,0.8553210236662213,0.8838298786580343
14,df_Age65_69,0.8626695991825906,0.9029333217534362
15,df_Age70_74,0.8501258660822836,0.9083245123148974
16,df_Age75_79,0.8139741844789501,0.9047398619128307
17,df_Age80_84,0.7542411331386205,0.8932760600381453
18,df_Age85_over,0.6540755138421306,0.8599038985565917
19,df_Age_all,0.7593901255176762,0.850182800813086
